Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     59.51     0.00       85     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00     59.51     0.00       84     0.00     0.00  std::vector<int, std::allocator<int> >::_M_default_initialize(unsigned long)
  0.00     59.51     0.00       83     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00     59.51     0.00       82     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00     59.51     0.00       82     0.00     0.00  std::allocator<Coordinate>::~allocator()
  0.00     59.51     0.00       77     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Coordinate*>(Coordinate*, Coordinate*)
  0.00     59.51     0.00       76     0.00     0.00  std::allocator<Bond>::~allocator()
  0.00     59.51     0.00       76     0.00     0.00  std::_Vector_base<Coordinate, std::allocator<Coordinate> >::_M_get_Tp_allocator()
  0.00     59.51     0.00       63     0.00     0.00  int* std::__uninitialized_default_n_a<int*, unsigned long, int>(int*, unsigned long, std::allocator<int>&)
  0.00     59.51     0.00       18     0.00     0.00  arma::solve_opts::opts::opts(unsigned long long)
  0.00     59.51     0.00       15     0.00     0.00  arma::gmm_seed_mode::gmm_seed_mode(unsigned long long)
  0.00     59.51     0.00       14     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00     59.51     0.00       12     0.00     0.00  arma::Base_inv_yes<arma::Mat<double> >::Base_inv_yes()
  0.00     59.51     0.00       12     0.00     0.00  arma::Base_eval_Mat<double, arma::Mat<double> >::Base_eval_Mat()
  0.00     59.51     0.00       12     0.00     0.00  arma::Base_trans_default<arma::Mat<double> >::Base_trans_default()
  0.00     59.51     0.00       12     0.00     0.00  arma::Col<double>::~Col()
  0.00     59.51     0.00       12     0.00     0.00  arma::Mat<double>::~Mat()
  0.00     59.51     0.00       12     0.00     0.00  arma::Base<double, arma::Mat<double> >::Base()
  0.00     59.51     0.00       12     0.00     0.00  std::operator&(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
